api-gateway  | 2026-08-06T07:01:40.142Z  WARN 1 --- [api-gateway] [or-http-epoll-1] [6a74315478488539d30cf30012f5f81d-d30cf30012f5f81d] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.164Z  WARN 1 --- [api-gateway] [or-http-epoll-2] [6a7431548eba27374505c7cb77ca0b4c-4505c7cb77ca0b4c] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.176Z  WARN 1 --- [api-gateway] [or-http-epoll-2] [6a7431540073dbefc0558dc22f96b0f4-c0558dc22f96b0f4] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.201Z  WARN 1 --- [api-gateway] [or-http-epoll-3] [6a7431542dfbefbe9abcc65b676e1ccb-9abcc65b676e1ccb] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.211Z  WARN 1 --- [api-gateway] [or-http-epoll-3] [6a743154a7e3a18ae3f0c3ee9f4ee1e1-e3f0c3ee9f4ee1e1] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.238Z  WARN 1 --- [api-gateway] [or-http-epoll-4] [6a7431543f172b3e5a8c8b79c015000a-5a8c8b79c015000a] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.255Z  WARN 1 --- [api-gateway] [or-http-epoll-4] [6a743154d9345c6c473e2ebc3f604286-473e2ebc3f604286] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.290Z  WARN 1 --- [api-gateway] [or-http-epoll-5] [6a743154af06024307cb6c4cac9a132d-07cb6c4cac9a132d] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.301Z  WARN 1 --- [api-gateway] [or-http-epoll-5] [6a7431545a9574a778314b6aa40b2cc7-78314b6aa40b2cc7] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.326Z  WARN 1 --- [api-gateway] [or-http-epoll-6] [6a7431548078873036ea0ab9c4e62598-36ea0ab9c4e62598] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.336Z  WARN 1 --- [api-gateway] [or-http-epoll-6] [6a743154095a5f73a9d4342678d312da-a9d4342678d312da] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.362Z  WARN 1 --- [api-gateway] [or-http-epoll-7] [6a7431540433a683c2bd77fb7cd196ab-c2bd77fb7cd196ab] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.373Z  WARN 1 --- [api-gateway] [or-http-epoll-7] [6a74315471b94ecfe1d206b8cd4371b3-e1d206b8cd4371b3] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.397Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a743154ad36e6618bb0204960813045-8bb0204960813045] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.407Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a7431549bb72c3b4498f395325ae1d0-4498f395325ae1d0] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.432Z  WARN 1 --- [api-gateway] [or-http-epoll-1] [6a74315417f725069beebcc5d40be2b1-9beebcc5d40be2b1] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.443Z  WARN 1 --- [api-gateway] [or-http-epoll-1] [6a7431548375a9910866cc675f228d32-0866cc675f228d32] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.452Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a7431540bbc18321dc18565c912166d-1dc18565c912166d] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.466Z  WARN 1 --- [api-gateway] [or-http-epoll-1] [6a743154e750998750ec12f8424135a7-50ec12f8424135a7] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.466Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a743154a4d6a28a01417cabdddcaf23-01417cabdddcaf23] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.477Z  WARN 1 --- [api-gateway] [or-http-epoll-1] [6a743154aa6f929a61fb77172d23f011-61fb77172d23f011] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.486Z  WARN 1 --- [api-gateway] [or-http-epoll-4] [6a743154844d1f9f0b7d15388cd54982-0b7d15388cd54982] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.496Z  WARN 1 --- [api-gateway] [or-http-epoll-4] [6a7431546e96d87bab8afb5ef94f15d9-ab8afb5ef94f15d9] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.503Z  WARN 1 --- [api-gateway] [or-http-epoll-5] [6a7431546a9a307b67cb07c7fdfbf421-67cb07c7fdfbf421] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.513Z  WARN 1 --- [api-gateway] [or-http-epoll-5] [6a7431542cdbd0b846231498bea16c2b-46231498bea16c2b] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.521Z  WARN 1 --- [api-gateway] [or-http-epoll-7] [6a7431547d403f3a3f8cfae321b4fb44-3f8cfae321b4fb44] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.530Z  WARN 1 --- [api-gateway] [or-http-epoll-7] [6a7431548aa9f99f7f682a471743e614-7f682a471743e614] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.540Z  WARN 1 --- [api-gateway] [or-http-epoll-2] [6a74315425e9ea6101c2eb0130b85706-01c2eb0130b85706] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.553Z  WARN 1 --- [api-gateway] [or-http-epoll-2] [6a743154bb6100f5030d69752f8195e4-030d69752f8195e4] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.559Z  WARN 1 --- [api-gateway] [or-http-epoll-6] [6a743154a81e619e9e79b1909aa2a7a4-9e79b1909aa2a7a4] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.572Z  WARN 1 --- [api-gateway] [or-http-epoll-6] [6a743154cffaec014348acd168fc02d4-4348acd168fc02d4] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.574Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a743154b220881c1e3f7382e2cf3617-1e3f7382e2cf3617] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.592Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a743154a99999b8712c2712ff369945-712c2712ff369945] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.593Z  WARN 1 --- [api-gateway] [or-http-epoll-1] [6a7431546377b49a7c01dacf9fd3b5ab-7c01dacf9fd3b5ab] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.611Z  WARN 1 --- [api-gateway] [or-http-epoll-1] [6a7431540f109c4907fa788cad91615c-07fa788cad91615c] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.612Z  WARN 1 --- [api-gateway] [or-http-epoll-3] [6a7431543e2253e2ebebe0e42ef667f3-ebebe0e42ef667f3] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
